-3,PER VEHICLE,2,Opposite,Directional,48.00,15,35.00,AB,Westfir store,4345.466&,N,12229.609&,W,Fred Gerding,5,19,11,14,51,5,24,11,14,44,North,South,F,F,F,F,7.00,T,95.00,F,T,T,T,Best Match,40.00,3.40,117.00,3.40,16.00,7.00,7.00,5.00,30,Div By 2,10,12,24,36,48,60,72,84,96,108,120
-2,"Westfir store","4345.466,N","12229.609,W","Fred Gerding","","","","041311-0101 OMG","Omega","1.25",PER VEHICLE,563.27,05/19/11,14:51:00,05/24/11,14:44:00,2,15
-1,1,"North",121.92,A-A,,Directional
-1,2,"South",121.92,A-A,,Directional
1,05/20/11,14:20:49.92,456.37,2,295.04,295.04
1,05/20/11,14:20:49.96,188.96,2,295.44,295.44
2,05/20/11,14:22:42.38,549.67,2,259.84,259.84
2,05/20/11,14:24:31.45,381.60,2,369.78,369.78
2,05/20/11,14:24:42.29,462.65,2,271.39,271.39
1,05/20/11,14:26:28.25,349.48,2,244.15,244.15
2,05/20/11,14:28:18.55,441.38,2,354.03,354.03
2,05/20/11,14:29:04.40,430.85,2,285.56,285.56
1,05/20/11,14:31:04.45,542.13,2,366.84,366.84
1,05/20/11,14:31:37.85,558.77,2,311.42,311.42
1,05/20/11,14:34:18.65,363.34,2,285.98,285.98
2,05/20/11,14:35:18.15,580.03,2,270.76,270.76
2,05/20/11,14:39:14.53,429.17,2,276.09,276.09
1,05/20/11,14:48:29.72,387.90,2,370.40,370.40
2,05/20/11,14:49:51.38,451.42,2,276.39,276.39
2,05/20/11,14:49:59.62,536.76,2,256.50,256.50
1,05/20/11,14:55:46.28,363.76,2,352.21,352.21
1,05/20/11,14:58:44.21,386.50,2,153.07,153.07
